"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 26 18:31:21 UTC 2023","Tue Dec 26 18:31:23 UTC 2023","2149","","Sign up","","","","with empty required fields",""
"passed","Tue Dec 26 18:31:21 UTC 2023","Tue Dec 26 18:31:21 UTC 2023","278","","Sign up","","","","""before each"" hook for Sign up",""
"passed","Tue Dec 26 18:31:13 UTC 2023","Tue Dec 26 18:31:21 UTC 2023","8304","","Sign up","","","","with invalid credentials",""
"passed","Tue Dec 26 18:31:00 UTC 2023","Tue Dec 26 18:31:08 UTC 2023","8269","","Login","","","","with valid credentials",""
"passed","Tue Dec 26 18:30:58 UTC 2023","Tue Dec 26 18:31:13 UTC 2023","14254","","Sign up","","","","with valid credentials",""
"passed","Tue Dec 26 18:31:08 UTC 2023","Tue Dec 26 18:31:14 UTC 2023","5798","","Login","","","","with invalid credentials",""
"passed","Tue Dec 26 18:31:14 UTC 2023","Tue Dec 26 18:31:16 UTC 2023","1736","","Login","","","","with empty required fields",""
"passed","Tue Dec 26 18:30:58 UTC 2023","Tue Dec 26 18:31:07 UTC 2023","8972","","Checking","","","","the form components",""
"passed","Tue Dec 26 18:31:14 UTC 2023","Tue Dec 26 18:31:14 UTC 2023","154","","Login","","","","""before each"" hook for Login",""
